com/unionpay/tsmservice,Payment
com/unity3d,Game Engine
com/unity3d/ads,Advertisement
com/urbanairship,Mobile Analytics
com/uservoice/uservoicesdk,Social Network
com/ut/mini,Development Aid
com/uzmap/pkg/uzkit/fineHttp,Development Aid
com/vercoop,Development Aid
com/verizon,Development Aid
com/viewpagerindicator,Development Aid
com/vividsolutions/jts,Development Aid
com/vjianke/pulltorefresh,GUI Component
com/vl/pulltorefresh,GUI Component
com/vpon,Advertisement
com/vungle,Advertisement
com/wm/pulltorefresh,GUI Component
com/xiaomi/mipush/sdk,Development Aid
com/xiaomi/push,Development Aid
com/xiaomi/smack,Development Aid
com/xiaomi/xmpush,Development Aid
com/yandex/mobile/ads,Advertisement
com/yixia,Development Aid
cz/msebera/android/httpclient,Development Aid
dagger,Development Aid
de/greenrobot/dao,Development Aid
de/greenrobot/event,Development Aid
de/keyboardsurfer,GUI Component
flexjson,Development Aid
fr/castorfle,GUI Component
gnu/commonlisp,Development Aid
gnu/ecmascript,Development Aid
gnu/kawa,Development Aid
gnu/mapping,Development Aid
gnu/xml,Development Aid
greendroid,GUI Component
hirondelle/date4j,Development Aid
im/quar,Development Aid
info/guardianproject/bouncycastle,Development Aid
io/dcloud,Development Aid
io/fabric/sdk/android,Development Aid
it/gmariotti/cardslib,Development Aid
it/sauronsoftware/ftp4j,Development Aid
javax/activation,Development Aid
javax/annotation,Development Aid
javax/jmdns,Development Aid
javax/mail,Development Aid
javax/servlet,Development Aid
javax/ws/rs,Development Aid
jcifs,Development Aid
jsr166y,Development Aid
junit,Development Aid
jxl,Development Aid
kankan/wheel,GUI Component
kawa,Development Aid
me/apla/cordova,Development Aid
me/kiip,Advertisement
me/zhanghai/android/materialprogressbar,Development Aid
microsoft/mappoint,Map/LBS
mm/purchasesdk,Payment
mobisocial/omlib,Social Network
mono/android,Development Aid
net/authorize,Development Aid
net/hockeyapp/android,Mobile Analytics
net/lingala/zip4j,Development Aid
net/minidev/json,Development Aid
net/simonvt/menudrawer,Development Aid
net/sourceforge/pinyin4j,Development Aid
net/sourceforge/zbar,Development Aid
net/tsz/afinal,Advertisement
net/youmi,Advertisement
nl/siegmann/epublib,Development Aid
oauth/signpost,Development Aid
okhttp3,Development Aid
okio,Development Aid
opentk,Development Aid
org/achartengine,Development Aid
org/acra,Development Aid
org/anddev/andengine,Game Engine
org/andengine,Game Engine
org/android/agoo,Development Aid
org/androidannotations,Development Aid
org/apache/commons,Development Aid
org/apache/cordova,Development Aid
org/apache/harmony,Development Aid
org/apache/http,Development Aid
org/apache/james,Development Aid
org/apache/log4j,Development Aid
org/apache/tools/ant,Development Aid
org/appcelerator,Development Aid
org/aspectj,Development Aid
org/bouncycastle,Development Aid
org/ccil/cowan/tagsoup,Development Aid
org/cocos2d,Game Engine
org/cocos2dx,Game Engine
org/codehaus/jackson,Development Aid
org/dom4j,Development Aid
org/ebookdroid/ui/library/tasks,Development Aid
org/fmod,Game Engine
org/geometerplus/zlibrary,Development Aid
org/hamcrest,Development Aid
org/htmlcleaner,Development Aid
org/ice4j,Development Aid
org/ini4j,Development Aid
org/jaudiotagger,Development Aid
org/java_websocket,Development Aid
org/jaxen,Development Aid
org/jdeferred,Development Aid
org/jdom,Development Aid
org/jdom2,Development Aid
org/jivesoftware/smack,Payment
org/jivesoftware/smackx,Development Aid
org/joda/time,Development Aid
org/json,Development Aid
org/jsoup,Development Aid
org/junit,Development Aid
org/kde/necessitas/ministro/,Development Aid
org/kobjects,Development Aid
org/ksoap2,Development Aid
org/kxml2,Development Aid
org/lobobrowser,Development Aid
org/mapsforge,Map/LBS
org/metalev/multitouch,GUI Component
org/mozilla/intl/chardet,Development Aid
org/mozilla/javascript,Development Aid
org/mozilla/universalchardet,Development Aid
org/msgpack,Development Aid
org/nexage,Advertisement
org/nexage/sourcekit/mraid,Advertisement
org/ocpsoft/prettytime,Development Aid
org/openudid,Development Aid
org/osmdroid,Map/LBS
org/scribe,Development Aid
org/simpleframework,Development Aid
org/slf4j,Development Aid
org/spongycastle,Development Aid
org/springframework,Development Aid
org/tukaani/xz,Development Aid
org/vudroid,Development Aid
org/xbill/DNS,Development Aid
org/xinhua/analytics,Mobile Analytics
org/xmlpull,Development Aid
org/yaml/snakeyaml,Development Aid
org/zywx/wbpalmstar,Development Aid
pagerslidingtabstrip,GUI Component
pdftron,Development Aid
pl/polidea,Development Aid
pts/PhoneGap,Development Aid
rajawali/wallpaper,Development Aid
retrofit,Development Aid
roboguice,Development Aid
rx/internal,Development Aid
ti/imagefactory,Development Aid
ti/map,Map/LBS
ti/modules/titanium,Development Aid
twitter4j,Social Network
u/aly,Mobile Analytics
uk/co/senab/actionbarpulltorefresh,GUI Component
v2/com/playhaven,Advertisement
xamarin,Development Aid
zfee/sdk,Development Aid
com/facebook/ad,Advertisement
com/startapp,Advertisement
com/applovin,Advertisement
com/vungle,Advertisement
com/chartboost/sdk,Advertisement
com/unity3d/ads,Advertisement
com/jirbo/adcolony,Advertisement
com/ironsource,Advertisement
com/inmobi,Advertisement
com/tapjoy,Advertisement
com/my/target,Advertisement
com/amazonaws,Mobile Analytics
com/appsflyer,Mobile Analytics
com/crittercism,Mobile Analytics
net/hockeyapp/android,Mobile Analytics
com/segment/analytics,Mobile Analytics
com/urbanairship,Mobile Analytics
org/acra,App Market
com/koushikdutta/async,App Market
android/support,App Market
com/google/analytics,App Market
com/bumptech/glide,App Market
org/altbeacon,Map/LBS
pl/droidsonroids/gif,App Market
com/clevertap/android/sdk,App Market
butterknife,App Market
io/fabric/sdk/android,App Market
org/greenrobot/eventbus,App Market
com/orhanobut/logger,App Market
com/newrelic/agent/android,App Market
com/squareup/picasso,App Market
com/github/nisrulz/sensey,App Market
com/yalantis/ucrop,App Market
com/ace/universalimageloader,App Market
com/google/android/gms/maps,App Market
com/dropbox,Development Aid
com/parse,Development Aid
com/facebook,Social Network
twitter4j,Social Network
com/vk/sdk,Social Network
com/google/gson,Development Aid
cz/msebera/android/httpclient,Development Aid
